Flask server started
2018-01-26 12:04:03: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:03: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:03: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 137, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 127, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 137, u'id': 0}
2018-01-26 12:04:04: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:05: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:05: {u'hr': 114, u'flex': 91, u'eda': 137, u'id': 0}
2018-01-26 12:04:05: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:05: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:05: {u'hr': 114, u'flex': 91, u'eda': 137, u'id': 0}
2018-01-26 12:04:05: {u'hr': 114, u'flex': 91, u'eda': 137, u'id': 0}
2018-01-26 12:04:05: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:05: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:06: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
2018-01-26 12:04:07: {u'hr': 114, u'flex': 91, u'eda': 136, u'id': 0}
